Address,Latitude,Longitude,Distance (ft),Location Type
"819 N SPRING AVE TYLER Texas 75702","32.3588275621277","-95.2991951981086","322","Commercial"
"301 E LOCUST ST TYLER Texas 75702","32.3526226330711","-95.2981591530115","2493","Commercial"
"226 N BROADWAY AVE TYLER Texas 75702","32.3526963169945","-95.3009385169446","2123","Commercial"
"304 N BROADWAY AVE TYLER Texas 75702","32.353019091972","-95.3009582667362","2159","Commercial"
"100 E FERGUSON ST TYLER Texas 75702","32.3525041490172","-95.3001419383635","2263","Commercial"
"221 N SPRING AVE TYLER Texas 75702","32.3525876778989","-95.2992824532873","2161","Commercial"
"204 N BROADWAY AVE TYLER Texas 75702","32.3525030250131","-95.3009429972289","2201","Commercial"
"200 E FERGUSON ST TYLER Texas 75702","32.3520691776709","-95.2994709356129","2293","Commercial"
"218 E LOCUST ST TYLER Texas 75702","32.3531125672123","-95.2986656668393","2371","Commercial"
"920 N BOIS D ARC AVE TYLER Texas 75702","32.3601274342517","-95.3031422320734","1011","Commercial"
"1001 N BOIS D ARC AVE TYLER Texas 75702","32.3603857301078","-95.3025915827149","931","Commercial"
"206 W BOW ST TYLER Texas 75702","32.3577602371057","-95.3021159978433","306","Commercial"
"800 NORTH BROADWAY AVENUE TYLER Texas 75702","32.3584327288066","-95.3011532964013","70","Commercial"
"206 W BOW ST TYLER Texas 75702","32.3577570031697","-95.3019209296144","247","Commercial"
"812 N BOIS D ARC AVE TYLER Texas 75702","32.3589385057017","-95.303113858912","694","Commercial"
"214 W BOW ST TYLER Texas 75702","32.3579915652958","-95.302442542205","323","Commercial"
"215 VALENTINE ST TYLER Texas 75702","32.3590003556423","-95.2987950567927","669","Commercial"
"714 PABST AVE TYLER Texas 75702","32.3570003708333","-95.2981220939562","1387","Commercial"
"723 N BROADWAY AVE TYLER Texas 75702","32.357956781667","-95.299765490847","195","Commercial"
"904 N BOIS D ARC AVE TYLER Texas 75702","32.359265731714","-95.3032979093856","863","Commercial"
"810 N COLLEGE AVE TYLER Texas 75702","32.3587502452807","-95.3020569930374","36","Commercial"
"633 N BROADWAY AVE TYLER Texas 75702","32.3568631827508","-95.2999344063714","643","Commercial"
"205 WEST GENTRY PARKWAY TYLER Texas 75702","32.3600885457543","-95.3021356767667","681","Commercial"
"400 N BROADWAY AVE TYLER Texas 75702","32.3536356724225","-95.3014610735645","2083","Commercial"
"218 E LINE ST TYLER Texas 75702","32.3537906833912","-95.2987425885156","2028","Commercial"
"120 GOODMAN ST TYLER Texas 75702","32.3550888118015","-95.301583909021","1519","Commercial"
"526 N SPRING AVE TYLER Texas 75702","32.3557245766629","-95.2997720483823","991","Commercial"
"523 NORTH BROADWAY AVENUE TYLER Texas 75702","32.3554962273111","-95.2998413068723","1094","Commercial"
"207 E LINE ST TYLER Texas 75702","32.3533245985257","-95.2991751251275","2067","Commercial"
"417 W OAKWOOD ST TYLER Texas 75702","32.3556349879731","-95.3040137661261","1674","Commercial"
"412 N SPRING AVE TYLER Texas 75702","32.3541421704685","-95.2998423671669","1577","Commercial"
"509 N COLLEGE AVE TYLER Texas 75702","32.354920555684","-95.3015825981593","1580","Commercial"
"522 N BROADWAY AVE TYLER Texas 75702","32.3551333871686","-95.3010840122608","1251","Commercial"
"321 N BOIS D ARC AVE TYLER Texas 75702","32.3538184184125","-95.3024733813364","2076","Commercial"
"504 NORTH BOIS D ARC AVENUE TYLER Texas 75702","32.3553383822617","-95.3035560648029","2071","Commercial"
"313 N COLLEGE AVE TYLER Texas 75702","32.353383613605","-95.3012190124391","2248","Commercial"
