Address,Latitude,Longitude,Distance (ft),Location Type
"623 W BOW ST TYLER Texas 75702","32.3583282314562","-95.3074035357802","1515","Commercial"
"701 W GENTRY PKWY TYLER Texas 75702","32.3600827174531","-95.3078946690175","2210","Commercial"
"705 W GENTRY PKWY TYLER Texas 75702","32.3601132426534","-95.3084541875453","2395","Commercial"
"902 BORDER AVE TYLER Texas 75702","32.3593374064152","-95.3066983498324","1783","Commercial"
"304 N BROADWAY AVE TYLER Texas 75702","32.353019091972","-95.3009582667362","2438","Commercial"
"402 WEST LOCUST STREET TYLER Texas 75702","32.3526349883077","-95.304145590809","2452","Commercial"
"226 N BROADWAY AVE TYLER Texas 75702","32.3526963169945","-95.3009385169446","2405","Commercial"
"303 N BOIS D ARC AVE TYLER Texas 75702","32.3530323937395","-95.3025101607101","2162","Commercial"
"803 N SPRING AVE TYLER Texas 75702","32.3584271031498","-95.2992727708153","820","Commercial"
"218 NORTH COLLEGE AVENUE TYLER Texas 75702","32.3525563420248","-95.3020549131932","2317","Commercial"
"204 N BROADWAY AVE TYLER Texas 75702","32.3525030250131","-95.3009429972289","2482","Commercial"
"205 W LOCUST ST TYLER Texas 75702","32.3530144581411","-95.3019734179113","2320","Commercial"
"210 E BERTA ST TYLER Texas 75702","32.3603364238116","-95.2988586033493","1548","Commercial"
"500 VALENTINE ST TYLER Texas 75702","32.3593853562266","-95.2961279433944","2129","Commercial"
"600 E BOW ST TYLER Texas 75702","32.3585078746304","-95.2949234629203","2187","Commercial"
"","32.3584725554879","-95.2947556973821","2225","Commercial"
"820 CARLYLE AVE TYLER Texas 75702","32.3589447237668","-95.2952747004074","2343","Commercial"
"601 VALENTINE ST TYLER Texas 75702","32.3588180262688","-95.2948352454608","2328","Commercial"
"601 VALENTINE ST TYLER Texas 75702","32.3589518977775","-95.2948583989446","2370","Commercial"
"525 NORTH SPRING AVENUE TYLER Texas 75702","32.3559372135289","-95.2987798854604","1751","Commercial"
"525 NORTH SPRING AVENUE TYLER Texas 75702","32.3557768489646","-95.2988062290689","1764","Commercial"
"315 N BROADWAY AVE TYLER Texas 75702","32.3534317623949","-95.3002734825406","2155","Commercial"
"512 NORTH SPRING AVENUE TYLER Texas 75702","32.3551861475132","-95.2999359234033","1899","Commercial"
"525 N SPRING AVE TYLER Texas 75702","32.355406126871","-95.2992944058664","1786","Commercial"
"217 E OAKWOOD ST TYLER Texas 75702","32.3544489035951","-95.2988493415315","2330","Commercial"
"210 EAST OAKWOOD STREET TYLER Texas 75702","32.3547591029565","-95.298801533762","2253","Commercial"
"520 W BOW ST TYLER Texas 75702","32.3579662979597","-95.3058394602954","1038","Commercial"
"707 BORDER AVE TYLER Texas 75702","32.3574339241265","-95.3061281257449","1453","Commercial"
"722 BORDER AVE TYLER Texas 75702","32.3580640313924","-95.3064856297603","1205","Commercial"
"612 BORDER AVE TYLER Texas 75702","32.3565572933504","-95.3065415977145","1772","Commercial"
"702 W BOW ST TYLER Texas 75702","32.3580126712255","-95.3077436064632","1617","Commercial"
"624 W BOW ST TYLER Texas 75702","32.3579673057312","-95.3074155624864","1642","Commercial"
"530 BORDER AVENUE TYLER Texas 75702","32.355870722823","-95.30652837584","2037","Commercial"
"513 BORDER AVE TYLER Texas 75702","32.355304400343","-95.3061006385393","2238","Commercial"
"721 N PALACE AVE TYLER Texas 75702","32.3579748687235","-95.3099285912724","2312","Commercial"
"726 WEST BOW STREET TYLER Texas 75702","32.3580195761007","-95.3088389021391","1956","Commercial"
"802 W GENTRY PKWY TYLER Texas 75702","32.3592605122882","-95.3090270303428","2344","Commercial"
"827 W BOW ST TYLER Texas 75702","32.3584952101547","-95.3100347172857","2500","Commercial"
"819 N SPRING AVE TYLER Texas 75702","32.3588275621277","-95.2991951981086","989","Commercial"
